kommun,tmean,tmax,tmin,humidity
114,-38.2718254,-16.39880952,-66.18253968,84.14556878
115,-39.36904762,-16.55952381,-68.21428571,81.96496362
117,-32.25376984,-12.1218254,-56.47797619,82.62870701
120,-27.5,-9.214285714,-49.21428571,82.57142857
123,-35.28571429,-13.42857143,-66.85714286,86.42857143
125,-36.14285714,-12.42857143,-72.57142857,81.57142857
126,-42.72767857,-14.75892857,-78.43303571,86.80952381
127,-49.14285714,-15.85714286,-92,87
128,-45.35714286,-16.07142857,-81.57142857,87
136,-49.14285714,-15.85714286,-92,87
138,-40.58928571,-14.39285714,-73.91071429,86.18452381
139,-45.55555556,-20.24206349,-77.25,82.79927249
140,-51.33988095,-22.99315476,-80.86666667,88.21428571
160,-33.16170635,-13.93055556,-55.46130952,86.42857143
162,-28.85714286,-12.42857143,-45,86.42857143
163,-31.25892857,-12.80357143,-53.16964286,86.42857143
180,-32.03571429,-12.92857143,-55.82142857,86.42857143
181,-41.57142857,-16.28571429,-71.14285714,87.60714286
182,-33.375,-12.17857143,-59.64880952,84.5
183,-30.7172619,-12.7202381,-51.33035714,86.42857143
184,-28.85714286,-12.42857143,-45,86.42857143
186,-28.4047619,-11.35714286,-46.4047619,85.46428571
187,-27.5,-9.214285714,-49.21428571,83.53571429
188,-33.73809524,-11.69047619,-60.28571429,78.64285714
191,-45,-21.42857143,-76.14285714,78.64285714
192,-49.14285714,-15.85714286,-92,87
305,-56.38095238,-25.86904762,-88.75,83.32638889
319,-61.97321429,-34.08482143,-87.56696429,82.76376488
330,-47.74404762,-21.39880952,-77.53571429,81.22222222
331,-70.42857143,-40.42857143,-101,85.83333333
360,-60.94642857,-32.45535714,-88.5625,84.24181548
380,-55.85714286,-26.60714286,-84.96428571,84.27678571
381,-68.28571429,-29.57142857,-105.1428571,87.05952381
382,-54.5,-27.07142857,-81.71428571,85.57142857
428,-55.25396825,-33.21904762,-77.02063492,91.23015873
461,-50.26071429,-22.70267857,-78.475,88.21428571
480,-45.36309524,-19.68154762,-71.11904762,88.83928571
481,-23.57142857,0.285714286,-47.28571429,88.83928571
482,-58.71428571,-29.57142857,-86,88.21428571
483,-52.78571429,-26.60714286,-83.64285714,88.14285714
484,-60.32142857,-29.67857143,-90.5,88.28571429
486,-62.1875,-29.99107143,-92.98214286,87.99761905
488,-43.4672619,-17.98363095,-71.13095238,88.2202381
509,-53.08015873,-32.06439909,-74.63673469,91.19925595
512,-54.14616402,-29.09708995,-76.4452381,92.63730159
513,-64.57142857,-21.71428571,-98.71428571,97.57142857
560,-55.42857143,-33.14285714,-77.57142857,90.28571429
561,-51.38095238,-21.46031746,-81.15873016,90.95535714
562,-53.83333333,-32.33571429,-75.27619048,91.11904762
563,-43.26190476,-16.3015873,-72.29365079,88.75
580,-54.42857143,-31.52380952,-81.33333333,92.88095238
581,-46.38095238,-22.83333333,-67.54761905,90.78571429
582,-48.86309524,-23.0297619,-75.58333333,90.78571429
583,-56.42857143,-40,-71.71428571,92.5639881
584,-56.30952381,-37.45238095,-76.02380952,91.42485119
586,-56.19047619,-34.9047619,-80.33333333,90.28571429
604,-51.98809524,-32.34353741,-69.37755102,92.19047619
617,-48.37928571,-17.92020408,-75.83040816,88.24285714
642,-52.41666667,-28.29591837,-73.47278912,91.47619048
643,-53.17460317,-28.8707483,-75.15419501,92.57142857
662,-42.90142857,-15.84040816,-66.51795918,89.05714286
665,-49.62284392,-23.1847808,-73.53602324,89.85952381
680,-46.25,-24.74489796,-67.70408163,92.57142857
682,-54.71428571,-35.14285714,-70.57142857,92.57142857
683,-53.85714286,-20,-85.14285714,87.42857143
684,-51.63492063,-25.46031746,-75.44940476,89.28571429
685,-52.20634921,-29.17460317,-73.32142857,91.07275132
686,-55,-37.14285714,-69.85714286,92.36507937
687,-51.22222222,-30.07709751,-71.55102041,91.42857143
760,-48.34920635,-22.74603175,-72.71428571,90.73809524
761,-44.71428571,-24.42857143,-61.71428571,89.14285714
763,-38.28571429,-16.71428571,-55.42857143,88.31845238
764,-45.76190476,-17.52380952,-72.76190476,88
765,-38.92698413,-14.31111111,-60.65079365,88.30381944
767,-40.57142857,-16.42857143,-60.85714286,88.89285714
780,-43.61904762,-22.38095238,-60.14285714,89.14285714
781,-45.14285714,-15.85714286,-77.71428571,87.42857143
821,-49.57142857,-22.14285714,-76.28571429,92.33333333
834,-29.5047619,-8.60952381,-50.2,89.14285714
840,-8.428571429,9.714285714,-26.14285714,82.57142857
860,-50.76190476,-21.66666667,-80.14285714,92.33333333
861,-33.95238095,-12.42857143,-55.42857143,92.33333333
862,-33.65714286,-12.4,-53.45714286,89.14285714
880,-24.42857143,-6,-44.14285714,90.33928571
881,-39.11216931,-16.69100529,-60.62380952,90.73809524
882,-27.85714286,-9.142857143,-45.85714286,90.92857143
883,-35.14285714,-11.14285714,-63.42857143,86.71428571
884,-46.66666667,-20.16190476,-71.6,91.98253968
885,-15.47619048,-1.19047619,-27.9047619,82.57142857
980,-25.85714286,-5.164835165,-53.10989011,85.19047619
1060,-27.65714286,-6.2,-44,87.91071429
1080,-30.42857143,-7.428571429,-53,88.76554233
1081,-30.42857143,-7.428571429,-53,88.0109127
1082,-23.14285714,-1,-41.57142857,86.57142857
1083,-13.14285714,5,-26.28571429,86.57142857
1214,-28.36111111,-4.904761905,-44.82539683,89.56150794
1230,-21.22857143,1.1,-38.14285714,86.80238095
1231,-20.28571429,2.571428571,-38.14285714,86.71428571
1233,-21.61904762,0.30952381,-37.66666667,86.71428571
1256,-21.71428571,-0.714285714,-38,89.85267857
1257,-33.64384921,-9.895833333,-51.33134921,89.65178571
1260,-28.89484127,-5.095238095,-45.62698413,90.28571429
1261,-25.28888889,-2.60952381,-41.63174603,88.47619048
1262,-20.28571429,2.571428571,-38.14285714,87.1547619
1263,-23.14285714,-0.928571429,-39.14285714,86.71428571
1264,-21.85,-0.242857143,-36.91428571,87.28571429
1265,-23.39285714,-1.285714286,-38.57142857,88.42857143
1266,-33.14285714,-9.857142857,-49.14285714,90.14285714
1267,-31.30753968,-8.395833333,-47.5218254,89.57142857
1270,-19.14285714,3,-34,89.71428571
1272,-22.79047619,-2.114285714,-37.95238095,88.35714286
1273,-36.14285714,-13.14285714,-53.14285714,89.27232143
1275,-33.16832011,-9.826388889,-50.21891534,89.875
1276,-29.71825397,-6.44047619,-46.18253968,89.60714286
1277,-28.90912698,-5.05952381,-45.64126984,90.00515873
1278,-20.0952381,4.666666667,-38.33333333,90.28571429
1280,-20.28571429,2.571428571,-38.14285714,86.71428571
1281,-22.14285714,-1.285714286,-37.14285714,86.71428571
1282,-29.42857143,-5.285714286,-46.42857143,90.28571429
1283,-29.42857143,-5.285714286,-46.42857143,90.28571429
1284,-18.85714286,5.142857143,-37.71428571,90.28571429
1285,-26.22619048,-4.142857143,-41.61904762,88.42857143
1286,-19.14285714,3,-34,88.89285714
1287,-21.42857143,-0.714285714,-35.71428571,86.9047619
1290,-27.57142857,-5.142857143,-43.57142857,90.14285714
1291,-19.14285714,3,-34,90.14285714
1292,-28.14285714,-3.571428571,-45.14285714,90.28571429
1293,-36.14285714,-13.14285714,-53.14285714,90.14285714
1315,-36.85714286,-10.28571429,-53.57142857,90.14285714
1380,-30.47619048,-3.142857143,-47.85714286,88.42857143
1381,-33.01207011,-7.371527778,-53.53935185,89.10714286
1382,-32.4,-8.314285714,-48.45714286,87.71428571
1383,-28.85714286,-4.428571429,-45.71428571,86.49206349
1384,-10.42857143,8.714285714,-22.14285714,83.71428571
1401,-39.42857143,-17.42857143,-59.28571429,84.14285714
1402,-33.01561905,-11.29819048,-50.60580952,85.01587302
1407,-14.42857143,4,-24.28571429,83.85714286
1415,-35.9047619,-13.8042328,-52.23544974,90.14285714
1419,-32.85714286,-9.571428571,-49.14285714,89.14285714
1421,-42.38095238,-20.91798942,-60.95899471,89.76126543
